room,action,timestamp
11,OFF,2025-03-16T18:36:56.061748
101,OFF,2025-03-16T18:36:56.519332
107,OFF,2025-03-16T18:36:57.399710
11,ON,2025-03-16T18:37:44.148825
11,OFF,2025-03-16T18:37:53.202721
11,ON,2025-03-16T18:37:55.789040
11,OFF,2025-03-16T18:37:56.201209
11,ON,2025-03-16T18:41:19.012719
101,ON,2025-03-16T18:41:19.831760
107,ON,2025-03-16T18:41:20.276533
11,OFF,2025-03-16T18:41:29.563217
101,OFF,2025-03-16T18:41:30.093813
107,OFF,2025-03-16T18:41:30.531312
11,ON,2025-03-16T18:43:54.618530
101,ON,2025-03-16T18:43:55.059420
107,ON,2025-03-16T18:43:55.789773
11,OFF,2025-03-16T18:44:46.836118
101,OFF,2025-03-16T18:47:48.458389
107,OFF,2025-03-16T18:47:49.296801
11,ON,2025-03-16T18:51:00.403188
101,ON,2025-03-16T18:51:00.818137
107,ON,2025-03-16T18:51:01.311578
11,OFF,2025-03-16T18:52:17.747918
101,OFF,2025-03-16T18:52:18.670107
107,OFF,2025-03-16T18:52:19.310058
